ID,group,alpha_copaene,alpha_humulene,alpha_phellandrene,alpha_pinene,alpha_terpinene,alpha_terpineol,beta_caryophyllene,beta_farnesene,beta_myrcene,beta_phellandrene,beta_pinene,borneol,bornyl_acetate,camphene,camphor,cis_three_hexen_one_ol,citronellol,eucalyptol,eugenol,fenchone,gamma_terpinene,limonene,linalool,linalool_oxide,longifolene,menthol,methyl_jasmonate,methyl_salicylate,ocimene,one_four_cineole,p_cymene,sabinene,terpinen_four_ol,terpinolene,trimethyl_trideca
p11fc,fall_como,0.004313563,0.036727691,0.448676391,0.432003719,0.058771351,0.003174443,0.013399026,0.090106328,0.174279815,9.804020185,0.113221143,0.011148915,0.122585647,0.039978039,0.094152349,0.008184208,0.024208863,0.080447417,0.001660802,0.144255644,0.546185224,1.980433835,0.398455283,0.012740573,0.02344715,0.078759609,0.030731038,0.086278801,2.547876079,0.026937959,0.287706226,0.726881131,0.23389216,0.048484343,0.0077127
p11spc,spring_como,0.002027936,0.027245827,0.001568463,0.039435085,0.007035898,0.003511769,0.01468057,0.880612912,0.003085969,0.299944815,0.010889618,0.016017632,0.039138623,0.009204552,0.017072763,0.004608611,0.033743814,0.004307234,0.150019703,0.003959558,0.004350744,0.071791684,0.477253271,0.020203533,0.008572746,0.057959459,0.110962667,0.0463294,0.017358218,0.009865883,0.018950353,0.031700705,0.606554982,0.083185816,0.0029712
p11sc,summer_como,0.002274753,0.052128936,0.015295028,0.034697852,0.027003315,0.003817415,0.012457897,0.556663895,0.003088866,0.389086456,0.024170102,0.201860605,0.032000305,0.010234992,0.051698878,0.002498179,1.026608748,0.034349623,0.111327142,0.172153783,0.07089156,0.074214181,0.253178315,0.052206295,0.010909318,0.088375757,0.099355422,0.041448283,0.026295838,0.024542234,0.789011402,0.046992152,0.352014401,0.065827855,0.006436266
p14fc,fall_como,0.001198375,0.037526732,0.390051019,0.341236619,0.060547807,0.006598738,0.009793912,0.241940112,0.161951137,8.654194325,0.139388253,0.025343344,0.042640489,0.065477904,0.086185136,0.013728571,0.033109794,0.08419013,0.000841357,0.137238568,0.06024442,1.786284111,0.263108318,0.009472138,0.020252535,0.075798514,0.030460162,0.06933123,1.727316012,0.008988149,0.286377175,0.571267385,0.334848432,0.032241352,0.005935698
p14spc,spring_como,0.004723927,0.04898335,0.001131585,0.065780401,0.015064255,0.013861067,0.023433453,0.782751424,0.013325035,0.030079507,0.022355214,0.016738726,0.047230007,0.010396529,0.040711533,0.003837183,0.767808431,0.021841333,0.139922819,0.095852463,0.004376041,0.041878378,0.464152421,0.037014647,0.012236007,0.04062161,0.884524154,0.070553265,0.005914206,0.011074322,0.022936072,0.052317763,0.230453649,0.008347189,0.004348089
p14sc,summer_como,0.000974366,0.076403178,0.01046801,0.051653454,0.008688411,0.016511118,0.014272912,0.528852389,0.007478204,0.672558876,0.01416519,0.011900538,0.04833249,0.012026203,0.067344582,0.00376547,0.831288054,0.046432365,0.10182114,0.236754713,0.072082663,0.164285614,0.617771523,0.055101053,0.0048793,0.63595149,0.071900866,0.046571631,0.018371848,0.040637248,0.793222684,0.046782246,0.763283893,0.065089656,0.010460379
p3ff,fall_forest,0.001607727,0.025790558,0.004023086,0.065092038,0.013556441,0.004563079,0.011473165,0.426704056,0.016743397,0.246846892,0.018638658,0.008878085,0.037798268,0.021211854,0.053651205,0.002852072,0.439505501,0.039622085,0.001869278,0.024108048,0.009823445,0.108117383,0.046892699,0.021439135,0.011899443,0.024117441,0.051357794,0.031869007,0.011640992,0.012485555,0.029210204,0.114420774,0.052560928,0.069170699,0.005563143
p3spf,spring_forest,0.001488188,0.016224192,0.00310663,0.034887049,0.03079489,0.007626768,0.003145722,0.758492708,0.014929471,0.237751809,0.020392942,0.02455431,0.045117436,0.004004514,0.036483767,0.002897596,0.044913577,0.01362196,0.241395711,0.039245401,0.07038693,0.146847648,0.295098317,0.015152039,0.009039734,0.074581925,0.141605891,0.061293925,0.021258332,0.020758175,0.032046086,0.086356706,0.349339561,0.015757829,0.024661458
p3sf,summer_forest,0.002395845,2.919346511,0.035359827,0.115001024,0.02592848,0.016415345,0.004844668,0.794712128,0.019806896,1.529755339,0.029300148,0.025123068,0.072486398,0.023189492,0.065902356,0.024840433,0.112405547,0.027534899,0.230573269,0.245893405,0.021599729,0.331526706,1.440223899,0.043614036,0.01540744,0.064164281,0.170223672,0.111730078,0.349803457,0.023019707,0.039630821,0.250829389,0.768065773,0.026405093,0.008729905
p4ff,fall_forest,0.001469146,0.021846727,0.094302825,0.224340999,0.025321779,0.014407692,0.014712819,0.39541851,0.071824215,2.727702305,0.098590874,0.019652,0.072072576,0.043982763,0.07457599,0.011340819,0.035851425,0.056792789,0.001867229,0.080304963,0.102376582,0.558514524,0.256094002,0.053484465,0.014144096,0.094743725,0.066322755,0.042567789,0.475035809,0.009885032,0.115443857,0.227028762,0.112935027,0.020037536,0.009789823
p4spf,spring_forest,0.000910981,0.050179603,0.006712351,0.051207221,0.03825802,0.016398426,0.007253174,0.807228865,0.010185042,0.049867248,0.02546686,0.023380889,0.066853191,0.009848366,0.047966496,0.002794489,0.073973751,0.025122408,0.312630788,0.046947535,0.009500529,0.111748789,1.07492052,0.049686542,0.009428518,0.091114841,0.449477089,0.062892706,0.027017448,0.022754698,0.017577636,0.034985648,0.775471955,0.022681486,0.047552573
p4sf,summer_forest,0.001014462,0.03739784,0.001221632,0.035126656,0.005736704,0.008327856,0.005538196,0.468436508,0.001682994,0.055775893,0.00619631,0.016502705,0.05472734,0.005253047,0.027081391,0.008352129,0.518467872,0.018100762,0.079447096,0.129561163,0.00401501,0.064021192,0.318335188,0.366646924,0.002567375,0.044260784,0.053426467,0.053405969,0.012217774,0.014379861,0.012745904,0.055470756,0.336621167,0.009139914,0.013034261
p5ff,fall_forest,0.000940101,0.022627652,0.277620515,0.155587649,0.039726707,0.020767003,0.024564123,0.479165059,0.076127198,2.563652669,0.091105311,0.02859544,0.084592275,0.10704032,0.120856489,0.005955429,0.672021848,0.046422847,0.004735231,0.197766044,0.035741163,0.591302686,0.303286969,0.052373801,0.018548214,0.133431783,0.087338388,0.051631862,0.037922167,0.016738962,0.180405332,0.337522385,0.073851024,0.03539377,0.010052838
p5spf,spring_forest,0.001259023,0.122440133,0.007141191,0.18698782,0.017013772,0.02054638,0.009852792,0.919240879,0.019419004,0.440539252,0.078773414,0.263315116,0.095535616,0.025200159,0.063232416,0.008462223,0.138044788,0.021604119,0.443087286,0.331406849,0.042530045,0.141338489,0.978753863,0.073691903,0.013481838,1.092454451,1.467247081,0.142351162,0.018572413,0.038193575,0.043612916,0.135412634,0.912331066,0.016729993,0.062205198
